Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DropDownSuite,Chrome 90.0.4430.212,,,2021-05-16 12:36:36,2021-05-16 12:37:13,36.947s,PASSED
,,,,,,,
Test Cases/DropDown/DropdownFunctionScriptMode,Chrome 90.0.4430.212,DropdownFunctionScriptMode,DropDown,2021-05-16 12:36:41,2021-05-16 12:36:49,7.588s,PASSED
openBrowser(ApplicationUrl),Chrome 90.0.4430.212,,,2021-05-16 12:36:41,2021-05-16 12:36:44,2.916s,PASSED
"click(findTestObject(""Object Repository/Bugzilla/HomePage/FlieBugLink""))",Chrome 90.0.4430.212,,,2021-05-16 12:36:44,2021-05-16 12:36:45,0.840s,PASSED
"sendKeys(findTestObject(""Object Repository/Bugzilla/LoginPage/UsernameTxtBox""), Username)",Chrome 90.0.4430.212,,,2021-05-16 12:36:45,2021-05-16 12:36:45,0.104s,PASSED
"sendKeys(findTestObject(""Object Repository/Bugzilla/LoginPage/PasswordTxtBox""), Password)",Chrome 90.0.4430.212,,,2021-05-16 12:36:45,2021-05-16 12:36:45,0.092s,PASSED
"click(findTestObject(""Object Repository/Bugzilla/LoginPage/LoginBtn""))",Chrome 90.0.4430.212,,,2021-05-16 12:36:45,2021-05-16 12:36:46,0.807s,PASSED
"click(findTestObject(""Object Repository/Bugzilla/EnterBug/TestProductLink""))",Chrome 90.0.4430.212,,,2021-05-16 12:36:46,2021-05-16 12:36:47,0.934s,PASSED
"selectOptionByIndex(findTestObject(""Object Repository/Bugzilla/EnterBugDetailScreen/Hardware""), 3)",Chrome 90.0.4430.212,,,2021-05-16 12:36:47,2021-05-16 12:36:47,0.219s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/Bugzilla/EnterBugDetailScreen/Component""), ""Primary Component"", false)",Chrome 90.0.4430.212,,,2021-05-16 12:36:47,2021-05-16 12:36:47,0.127s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Bugzilla/EnterBugDetailScreen/Severity""), ""normal"", false)",Chrome 90.0.4430.212,,,2021-05-16 12:36:47,2021-05-16 12:36:47,0.154s,PASSED
"a = getNumberOfTotalOption(findTestObject(""Object Repository/Bugzilla/EnterBugDetailScreen/Severity""))",Chrome 90.0.4430.212,,,2021-05-16 12:36:47,2021-05-16 12:36:48,0.090s,PASSED
path = takeScreenshot(),Chrome 90.0.4430.212,,,2021-05-16 12:36:48,2021-05-16 12:36:48,0.151s,PASSED
"takeScreenshot(""C:\download\test.png"")",Chrome 90.0.4430.212,,,2021-05-16 12:36:48,2021-05-16 12:36:48,0.113s,PASSED
"click(findTestObject(""Object Repository/Bugzilla/HomePage/LogoutBtn""))",Chrome 90.0.4430.212,,,2021-05-16 12:36:48,2021-05-16 12:36:49,0.804s,PASSED
