Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MultipleSheet,Chrome 77.0.3865.120,,2019-11-01 21:37:06,2019-11-01 21:37:26,19.778s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.182s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.004s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.001s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.012s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.000s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.001s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.011s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.000s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.001s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.015s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.002s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.001s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.013s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.001s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.001s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.013s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.001s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.001s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetOne,Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.013s,PASSED
println(varone),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.001s,PASSED
println(vartwo),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.000s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetTwo,Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.148s,PASSED
println(varthree),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.001s,PASSED
println(varfour),Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:24,0.000s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetTwo,Chrome 77.0.3865.120,,2019-11-01 21:37:24,2019-11-01 21:37:25,0.010s,PASSED
println(varthree),Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.001s,PASSED
println(varfour),Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.001s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetTwo,Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.008s,PASSED
println(varthree),Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.001s,PASSED
println(varfour),Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.001s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetTwo,Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.010s,PASSED
println(varthree),Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.001s,PASSED
println(varfour),Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.001s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetTwo,Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.011s,PASSED
println(varthree),Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.001s,PASSED
println(varfour),Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.001s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetTwo,Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.013s,PASSED
println(varthree),Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.000s,PASSED
println(varfour),Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.000s,PASSED
,,,,,,
Test Cases/DataDriven/TC - ExcelSheetTwo,Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.010s,PASSED
println(varthree),Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.000s,PASSED
println(varfour),Chrome 77.0.3865.120,,2019-11-01 21:37:25,2019-11-01 21:37:25,0.000s,PASSED
